No Target Detected at x: 3 cm, y: 0 cm, z: 0.0 cm
No Target Detected at x: 55.0 cm, y: -16.0 cm, z: 0.0 cm
No Target Detected at x: 55.0 cm, y: -20.0 cm, z: 0.0 cm
No Target Detected at x: 53.0 cm, y: -20.0 cm, z: 0.0 cm
No Target Detected at x: 51.0 cm, y: -20.0 cm, z: 0.0 cm
No Target Detected at x: 49.0 cm, y: -20.0 cm, z: 0.0 cm
No Target Detected at x: 47.0 cm, y: -20.0 cm, z: 0.0 cm
No Target Detected at x: 45.0 cm, y: -20.0 cm, z: 0.0 cm
No Target Detected at x: 43.0 cm, y: -20.0 cm, z: 0.0 cm
No Target Detected at x: 41.0 cm, y: -20.0 cm, z: 0.0 cm
No Target Detected at x: 39.0 cm, y: -20.0 cm, z: 0.0 cm
No Target Detected at x: 37.0 cm, y: -20.0 cm, z: 0.0 cm
x: 33.6 cm, y: -20.0 cm, z: 8.0 cm, a: 69.90336938106965 cm
x: 33.657784834550135 cm, y: -19.76058589967203 cm, z: 8.0 cm, a: 67.85972557643217 cm
No Target Detected at x: 31.0 cm, y: -20.0 cm, z: 0.0 cm
x: 29.0 cm, y: -15.8 cm, z: 8.0 cm, a: 38.812441679174746 cm
x: 26.14912392943204 cm, y: -15.174442010240181 cm, z: 8.0 cm, a: 39.062358713453726 cm
x: 25.0 cm, y: -15.1 cm, z: 8.0 cm, a: 39.77716710621562 cm
x: 22.14912392943204 cm, y: -15.174442010240181 cm, z: 8.0 cm, a: 37.64917337864009 cm
x: 20.14912392943204 cm, y: -15.174442010240181 cm, z: 8.0 cm, a: 42.557198041945746 cm
x: 18.14912392943204 cm, y: -15.174442010240181 cm, z: 8.0 cm, a: 43.897294249265606 cm
x: 16.14912392943204 cm, y: -15.174442010240181 cm, z: 8.0 cm, a: 46.056390128773835 cm
x: 14.270677653798893 cm, y: -15.863807437348726 cm, z: 8.0 cm, a: 44.25818711854497 cm
x: 13.0 cm, y: -15.8 cm, z: 8.0 cm, a: 36.59276963408261 cm
x: 12.675898702295774 cm, y: -15.395506158149047 cm, z: 8.0 cm, a: 33.26183417250619 cm
No Target Detected at x: 9.0 cm, y: -20.0 cm, z: 0.0 cm
No Target Detected at x: 7.0 cm, y: -20.0 cm, z: 0.0 cm
No Target Detected at x: 5.0 cm, y: -20.0 cm, z: 0.0 cm
No Target Detected at x: 3.0 cm, y: -20.0 cm, z: 0.0 cm
No Target Detected at x: 3.0 cm, y: -24.0 cm, z: 0.0 cm
No Target Detected at x: 5.0 cm, y: -24.0 cm, z: 0.0 cm
No Target Detected at x: 7.0 cm, y: -24.0 cm, z: 0.0 cm
No Target Detected at x: 9.0 cm, y: -24.0 cm, z: 0.0 cm
No Target Detected at x: 11.0 cm, y: -24.0 cm, z: 0.0 cm
No Target Detected at x: 13.0 cm, y: -24.0 cm, z: 0.0 cm
x: 15.449951326780578 cm, y: -23.463768889816716 cm, z: 8.0 cm, a: 72.06228302457968 cm
x: 16.87844627563315 cm, y: -24.689365427108545 cm, z: 8.0 cm, a: 72.79498905053501 cm
x: 19.0 cm, y: -25.4 cm, z: 8.0 cm, a: 66.43355669911553 cm
x: 21.12155372436685 cm, y: -24.689365427108545 cm, z: 8.0 cm, a: 64.17191280590549 cm
x: 23.0 cm, y: -25.4 cm, z: 8.0 cm, a: 61.68637033802475 cm
x: 25.0 cm, y: -25.4 cm, z: 8.0 cm, a: 60.59304895302073 cm
x: 27.0 cm, y: -25.4 cm, z: 8.0 cm, a: 55.71999442891911 cm
x: 29.0 cm, y: -25.4 cm, z: 8.0 cm, a: 55.096849758875685 cm
x: 31.0 cm, y: -25.4 cm, z: 8.0 cm, a: 50.796057736643185 cm
x: 33.12155372436685 cm, y: -24.689365427108545 cm, z: 8.0 cm, a: 51.023980988782334 cm
x: 35.0 cm, y: -25.4 cm, z: 8.0 cm, a: 59.013171605432206 cm
x: 36.2817576990161 cm, y: -25.97335450365041 cm, z: 8.0 cm, a: 61.90202682993521 cm
No Target Detected at x: 39.0 cm, y: -24.0 cm, z: 0.0 cm
No Target Detected at x: 41.0 cm, y: -24.0 cm, z: 0.0 cm
No Target Detected at x: 43.0 cm, y: -24.0 cm, z: 0.0 cm
No Target Detected at x: 45.0 cm, y: -24.0 cm, z: 0.0 cm
