-1.6758987022957768,-4.604493841850951,7.5,34.31290504910721
-1.6758987022957768,-4.604493841850951,7.5,34.385203993677
-1.6758987022957768,-4.604493841850951,7.5,34.36445461667935
-1.6758987022957768,-4.604493841850951,7.5,34.48372764459884
-1.6758987022957768,-4.604493841850951,7.5,34.82790396010811
-1.6758987022957768,-4.604493841850951,7.5,35.25268104916173
-1.6758987022957768,-4.604493841850951,7.5,34.96255276986269
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
No Target Detected
